City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,College,US,64.8569,-147.8028,48.2,80,99,1.54,overcast clouds
252,Iqaluit,CA,63.7506,-68.5145,38.93,93,100,0.0,overcast clouds
253,Adrar,MR,20.5022,-10.0711,92.37,38,72,12.82,broken clouds
254,Bonavista,CA,48.6499,-53.1147,53.44,77,98,18.05,overcast clouds
255,Adre,TD,13.4667,22.2,78.22,64,95,0.4,overcast clouds
256,Flinders,AU,-34.5833,150.8552,63.37,90,98,5.99,light rain
257,Dengzhou,CN,37.8086,120.7508,61.45,77,0,12.41,clear sky
258,Jacqueville,CI,5.2052,-4.4146,75.99,90,36,5.99,scattered clouds
259,Tabuk,PH,17.4189,121.4443,71.35,94,99,2.17,overcast clouds
260,Jabinyanah,TN,35.035,10.9081,78.48,58,100,8.19,overcast clouds
261,Sobolevo,RU,54.4299,31.8996,47.03,96,100,9.15,overcast clouds
262,Margate,GB,51.3813,1.3862,59.7,73,35,1.01,scattered clouds
263,Ahar,IR,38.4774,47.0699,67.14,38,49,5.41,scattered clouds
264,Sept-Iles,CA,50.2001,-66.3821,50.52,97,100,11.5,mist
265,Alta Floresta,BR,-9.8756,-56.0861,78.62,83,75,10.36,broken clouds
266,Lavrentiya,RU,65.5833,-171.0,40.32,97,100,26.91,moderate rain
267,Murwillumbah,AU,-28.3167,153.4,66.22,94,100,16.11,light intensity shower rain
268,Phek,IN,25.6667,94.5,57.83,99,88,0.69,overcast clouds
269,Xuddur,SO,4.1213,43.8894,75.0,75,45,15.7,scattered clouds
270,Lorengau,PG,-2.0226,147.2712,78.91,80,91,4.21,overcast clouds
271,Naisud,PH,11.8058,122.1939,74.12,84,100,9.28,overcast clouds
272,Moree,AU,-29.4667,149.85,57.22,94,40,5.75,scattered clouds
273,Haveri,IN,14.8,75.4,65.93,97,100,7.61,overcast clouds
274,Bathsheba,BB,13.2167,-59.5167,80.98,80,100,19.1,overcast clouds
275,Kodiak,US,57.79,-152.4072,52.2,57,2,5.08,clear sky
276,Poronaysk,RU,49.2167,143.1167,49.41,83,0,10.56,clear sky
277,Takoradi,GH,4.8845,-1.7554,75.16,90,74,5.84,broken clouds
278,Bourail,NC,-21.5667,165.4833,72.72,74,23,3.98,few clouds
279,Ugoofaaru,MV,5.6667,73.0,81.9,72,23,9.15,few clouds
280,Verkhnevilyuysk,RU,63.4453,120.3167,25.27,87,50,6.85,scattered clouds
281,Xicotencatl,MX,23.0167,-98.8833,91.47,45,8,2.1,clear sky
282,Batticaloa,LK,7.7102,81.6924,79.11,76,6,3.29,clear sky
283,Fortuna,US,40.5982,-124.1573,69.93,75,100,1.99,overcast clouds
284,Brandfort,ZA,-28.7001,26.4597,48.52,42,18,3.24,few clouds
285,Klyuchevskiy,RU,53.5317,119.4519,36.82,94,100,3.91,overcast clouds
286,Suifenhe,CN,44.4,131.1667,43.59,97,97,3.58,overcast clouds
287,Straseni,MD,47.1414,28.6103,45.43,99,20,5.23,light rain
288,Tall Kayf,TR,37.0833,41.0667,77.86,43,94,6.2,overcast clouds
289,Ahipara,NZ,-35.1667,173.1667,58.6,78,17,6.46,few clouds
290,Northam,GB,51.0333,-4.2167,53.26,90,100,8.1,overcast clouds
291,Aksarka,RU,66.5606,67.7975,38.19,73,21,19.91,few clouds
292,Katobu,ID,-4.9408,122.5276,73.96,92,84,1.43,broken clouds
293,Kruisfontein,ZA,-34.0033,24.7314,54.88,57,23,4.23,few clouds
294,Masuguru,TZ,-11.3667,38.4167,74.01,66,27,7.94,scattered clouds
295,Baruun-Urt,MN,46.6806,113.2792,35.64,63,100,14.92,overcast clouds
296,Kundiawa,PG,-6.0167,144.9667,61.03,96,100,2.26,overcast clouds
297,Coos Bay,US,43.3665,-124.2179,68.31,100,100,7.58,overcast clouds
298,Bairiki,KI,1.3292,172.9752,82.4,78,40,4.61,light rain
299,Belyy Yar,RU,53.6039,91.3903,41.86,91,0,0.0,clear sky
300,Camacupa,AO,-12.0167,17.4833,68.45,68,100,4.32,overcast clouds
301,Slavutych,UA,51.5196,30.7343,46.63,95,100,4.83,overcast clouds
302,Sola,VU,-13.8833,167.55,79.3,75,15,9.46,few clouds
303,Evensk,RU,61.95,159.2333,41.65,67,100,5.68,overcast clouds
304,Nishihara,JP,26.1842,127.7558,78.08,83,41,4.61,scattered clouds
305,Olafsvik,IS,64.8945,-23.7142,49.96,87,100,2.21,overcast clouds
306,Itarema,BR,-2.9248,-39.9167,78.01,81,20,17.18,few clouds
307,Penha,BR,-26.7694,-48.6458,61.93,92,100,2.8,heavy intensity rain
308,Hobyo,SO,5.3505,48.5268,76.69,92,80,21.72,broken clouds
309,Guerrero Negro,MX,27.9769,-114.0611,80.51,56,17,13.04,few clouds
310,Yar-Sale,RU,66.8333,70.8333,37.98,80,52,18.48,broken clouds
311,Faanui,PF,-16.4833,-151.75,78.48,73,7,20.51,light rain
312,Westport,US,41.1415,-73.3579,80.94,61,6,4.0,clear sky
313,Americus,US,32.0724,-84.2327,93.65,26,0,8.01,clear sky
314,Dzidzantun,MX,21.25,-89.05,86.14,59,17,8.59,few clouds
315,Khatanga,RU,71.9667,102.5,22.28,78,68,17.07,broken clouds
316,Necochea,AR,-38.5473,-58.7368,52.7,60,67,10.38,broken clouds
317,Narsaq,GL,60.9167,-46.05,46.62,67,41,2.86,scattered clouds
318,Marienburg,PL,54.0359,19.0266,50.88,80,82,5.59,moderate rain
319,Tikrit,IQ,34.6071,43.6782,89.13,28,75,6.6,broken clouds
320,Pombas,CV,17.1503,-25.0201,76.78,74,12,11.72,few clouds
321,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,12.66,broken clouds
